2026-05-30 23:09:26 | pid=110162 alive=True | epoch=10 progress=100% loss=4.6500 | latest_ckpt_epoch=10 | gpu=1% mem=7785/12227MB power=60.36W temp=49C
2026-05-30 23:09:31 | pid=110162 alive=True | epoch=11 progress=5% loss=4.6600 | latest_ckpt_epoch=10 | gpu=1% mem=7785/12227MB power=68.00W temp=48C
2026-05-30 23:09:36 | pid=110162 alive=True | epoch=11 progress=12% loss=4.6500 | latest_ckpt_epoch=10 | gpu=1% mem=7785/12227MB power=39.79W temp=47C
2026-05-30 23:09:41 | pid=110162 alive=True | epoch=11 progress=19% loss=4.6500 | latest_ckpt_epoch=10 | gpu=1% mem=7785/12227MB power=35.73W temp=46C
2026-05-30 23:09:46 | pid=110162 alive=True | epoch=11 progress=28% loss=4.7400 | latest_ckpt_epoch=10 | gpu=1% mem=7787/12227MB power=58.65W temp=47C
2026-05-30 23:09:51 | pid=110162 alive=True | epoch=11 progress=35% loss=4.6700 | latest_ckpt_epoch=10 | gpu=1% mem=7787/12227MB power=35.25W temp=46C
2026-05-30 23:09:56 | pid=110162 alive=True | epoch=11 progress=44% loss=4.6600 | latest_ckpt_epoch=10 | gpu=1% mem=7786/12227MB power=64.37W temp=46C
2026-05-30 23:10:01 | pid=110162 alive=True | epoch=11 progress=53% loss=4.6600 | latest_ckpt_epoch=10 | gpu=37% mem=7786/12227MB power=71.97W temp=48C
2026-05-30 23:10:07 | pid=110162 alive=True | epoch=11 progress=63% loss=4.6600 | latest_ckpt_epoch=10 | gpu=84% mem=7786/12227MB power=67.14W temp=45C
2026-05-30 23:10:12 | pid=110162 alive=True | epoch=11 progress=70% loss=4.6600 | latest_ckpt_epoch=10 | gpu=48% mem=7785/12227MB power=67.14W temp=47C
2026-05-30 23:10:18 | pid=110162 alive=True | epoch=11 progress=77% loss=4.6600 | latest_ckpt_epoch=10 | gpu=1% mem=7785/12227MB power=66.65W temp=45C
2026-05-30 23:10:23 | pid=110162 alive=True | epoch=11 progress=84% loss=4.6600 | latest_ckpt_epoch=10 | gpu=26% mem=7785/12227MB power=44.94W temp=47C
2026-05-30 23:10:28 | pid=110162 alive=True | epoch=11 progress=95% loss=4.6600 | latest_ckpt_epoch=10 | gpu=1% mem=7785/12227MB power=66.38W temp=45C
2026-05-30 23:10:33 | pid=110162 alive=True | epoch=12 progress=2% loss=4.6600 | latest_ckpt_epoch=11 | gpu=1% mem=7787/12227MB power=36.54W temp=44C
2026-05-30 23:10:38 | pid=110162 alive=True | epoch=12 progress=9% loss=4.6600 | latest_ckpt_epoch=11 | gpu=25% mem=7787/12227MB power=40.04W temp=43C
2026-05-30 23:10:43 | pid=110162 alive=True | epoch=12 progress=19% loss=4.6500 | latest_ckpt_epoch=11 | gpu=1% mem=7787/12227MB power=63.77W temp=44C
